task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
2122,75223,0.15302189884611211,ensemble-learners/el_task-75223_ens-size-15_budget-m-2000_budget-f-100_seed-464.pkl,0.8411103910131777,0.8373136242238017,"[0.98068182 0.53333333 0.83870968 0.98734177 0.67741935 0.81818182
 0.85380117 0.82564103 0.76923077 0.84526559 0.82363636 0.80431655
 0.78897137 0.79631182 0.82076176 0.886      0.83733333 0.8       ]",0.8411103910131777,0.8159409733691073,"[0.9896789  0.8        0.89655172 0.96296296 0.72413793 0.84375
 0.83428571 0.81313131 0.78838174 0.8280543  0.80604982 0.81014493
 0.81045752 0.79631182 0.81467754 0.85852713 0.87101248 0.82352941]",0.8411103910131777,0.8373136242238017,0.8411103910131777,0.8249536550902916,0.7257899151831485,0.7095161681132318
3048,146593,0.7420344904791536,ensemble-learners/el_task-146593_ens-size-20_budget-m-2000_budget-f-100_seed-931.pkl,0.9772357723577236,0.5,[0.97723577 0.        ],0.9772357723577236,0.4886178861788618,[1. 0.],0.9772357723577236,0.5,0.9772357723577236,0.4942434210526316,0.9554848966613673,0.4886178861788618
3049,3048,0.8208718262358183,ensemble-learners/el_task-3048_ens-size-20_budget-m-2000_budget-f-100_seed-247.pkl,0.9741100323624595,0.7658523908523909,[0.98       0.77777778],0.9741100323624595,0.8788888888888888,[0.99324324 0.53846154],0.9741100323624595,0.7658523908523909,0.9741100323624595,0.8114704087858451,0.9495268138801262,0.7200883002207505
3053,75142,0.5198901899429393,ensemble-learners/el_task-75142_ens-size-5_budget-m-2000_budget-f-100_seed-596.pkl,0.9508196721311475,0.949438202247191,[0.91262136 1.        ],0.9508196721311475,0.9563106796116505,[1.        0.8988764],0.9508196721311475,0.949438202247191,0.9508196721311475,0.9505301414711801,0.90625,0.9057488818588415
75089,3053,0.8667681857214515,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.7636363636363637,0.63575,[0.51666667 0.81851852],0.7636363636363637,0.6675925925925926,[0.3875 0.884 ],0.7636363636363637,0.63575,0.7636363636363637,0.6464285714285715,0.6176470588235294,0.5117670522536897
75108,75147,0.7025640373349243,ensemble-learners/el_task-75147_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.9995406522737712,0.9984848484848485,[0.99945887 1.        ],0.9995406522737712,0.9997294372294372,[1.        0.9969697],0.9995406522737712,0.9984848484848485,0.9995406522737712,0.9991059566612799,0.9990817263544536,0.9982142857142857
279,75142,0.8099819720221991,ensemble-learners/el_task-75142_ens-size-5_budget-m-2000_budget-f-100_seed-596.pkl,0.939873417721519,0.9261919898283535,[0.97222222 0.92307692],0.939873417721519,0.9476495726495726,[0.8677686  0.98461538],0.939873417721519,0.9261919898283535,0.9398734177215189,0.9349420828502388,0.8865671641791045,0.8783634000917291
288,75235,0.49725835952452535,ensemble-learners/el_task-75235_ens-size-5_budget-m-2000_budget-f-100_seed-430.pkl,0.8418181818181818,0.8419911228668228,[0.83815029 0.84118674 0.84587814],0.8418181818181818,0.8417383872309174,[0.78804348 0.88440367 0.85352622],0.8418181818181818,0.8419911228668228,0.8418181818181818,0.8414213078378537,0.7268445839874411,0.7268260154919736
75115,75126,0.10675095195321786,ensemble-learners/el_task-75126_ens-size-5_budget-m-2000_budget-f-100_seed-178.pkl,0.9823182711198428,0.8902439024390244,[1.         0.98113208],0.9823182711198428,0.9905660377358491,[0.7804878 1.       ],0.9823182711198428,0.8902439024390244,0.9823182711198428,0.9335942596216569,0.9652509652509652,0.8808099401748735
75121,75115,0.11429445124647822,ensemble-learners/el_task-75115_ens-size-20_budget-m-2000_budget-f-100_seed-446.pkl,0.9960707269155207,0.9545454545454546,[1.         0.99591002],0.9960707269155207,0.9979550102249488,[0.90909091 1.        ],0.9960707269155207,0.9545454545454546,0.9960707269155207,0.9751658860265418,0.9921722113502935,0.9525004647704034
75125,75126,0.1775460249145886,ensemble-learners/el_task-75126_ens-size-5_budget-m-2000_budget-f-100_seed-178.pkl,0.962671905697446,0.9195078185080748,[0.94117647 0.96698113],0.962671905697446,0.9540788013318535,[0.85106383 0.98795181],0.962671905697446,0.9195078185080748,0.962671905697446,0.9356043707259906,0.928030303030303,0.8818958818958819
75126,75115,0.10675095195321786,ensemble-learners/el_task-75115_ens-size-20_budget-m-2000_budget-f-100_seed-446.pkl,0.9489194499017681,0.8389442159197518,[0.86       0.95860566],0.9489194499017681,0.9093028322440087,[0.69354839 0.98434004],0.9489194499017681,0.8389442159197518,0.9489194499017681,0.8695797855566068,0.902803738317757,0.7836972071903963
75131,166931,0.1476837497338571,ensemble-learners/el_task-166931_ens-size-10_budget-m-2000_budget-f-100_seed-383.pkl,0.8909090909090909,0.8915441176470589,[0.91358025 0.86904762],0.8909090909090909,0.8913139329805997,[0.87058824 0.9125    ],0.8909090909090909,0.8915441176470589,0.8909090909090909,0.8909050837496326,0.8032786885245902,0.8032728141423794
75139,211721,1.5127290509215066,ensemble-learners/el_task-211721_ens-size-5_budget-m-2000_budget-f-100_seed-439.pkl,0.924040404040404,0.8924543705979215,[0.90876217 0.96457565],0.924040404040404,0.9366689077182844,[0.98552036 0.79938838],0.924040404040404,0.8924543705979215,0.924040404040404,0.9099167993649842,0.8588058580548253,0.8366888924444914
75141,75147,0.50445488581431,ensemble-learners/el_task-75147_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.93007769145394,0.9195495884925804,[0.91443539 0.95736041],0.93007769145394,0.9358978980398646,[0.97396156 0.86513761],0.93007769145394,0.9195495884925804,0.93007769145394,0.9260879724240704,0.8692946058091287,0.8628262528107935
75142,3053,0.5198901899429402,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.9270051289675165,0.9269533685751364,[0.93328267 0.9209952 ],0.9270051289675165,0.9271389366876333,[0.91876122 0.93514552],0.9270051289675165,0.9269533685751364,0.9270051289675165,0.9269907189869362,0.8639418081052996,0.8639184794779816
75147,75233,0.46614750586504194,ensemble-learners/el_task-75233_ens-size-10_budget-m-2000_budget-f-100_seed-425.pkl,0.9278579356270811,0.9093435957014232,[0.89772727 0.94034537],0.9278579356270811,0.9190363208220351,[0.86181818 0.95686901],0.9278579356270811,0.9093435957014232,0.9278579356270811,0.9139707707742998,0.865424430641822,0.8434383228277348
75148,3049,4.616493317252865,ensemble-learners/el_task-3049_ens-size-20_budget-m-2000_budget-f-100_seed-268.pkl,0.8019512195121952,0.8015675688024491,[0.82795699 0.78035714],0.8019512195121952,0.8041570660522274,[0.75787402 0.84526112],0.8019512195121952,0.8015675688024491,0.8019512195121952,0.8014401848994341,0.6693811074918566,0.6687872023809525
75149,166950,0.11296638952053677,ensemble-learners/el_task-166950_ens-size-5_budget-m-2000_budget-f-100_seed-668.pkl,0.896969696969697,0.896864960673535,[0.88387097 0.90857143],0.896969696969697,0.8962211981566821,[0.89542484 0.89830508],0.896969696969697,0.896864960673535,0.896969696969697,0.8965097402597404,0.8131868131868132,0.8125018937672333
75154,190158,1.6529040274513749,ensemble-learners/el_task-190158_ens-size-15_budget-m-2000_budget-f-100_seed-363.pkl,0.6931818181818182,0.7162657920310982,"[0.         0.         1.         1.         1.         1.
 1.         0.         0.75       1.         1.         1.
 1.         0.         1.         0.4        0.875      0.66666667
 0.4        0.         0.         1.         0.         0.5
 0.         0.15384615 1.         0.57142857 1.         0.75
 1.         0.75       0.8        0.57142857 1.         0.375
 0.22222222 0.6        0.71428571 0.         1.         1.
 0.75       1.         0.875      0.75       0.42857143 0.75
 1.         0.66666667 0.57142857 1.         0.5        0.75
 0.         1.         1.         0.5        1.         1.
 1.         0.33333333 0.8        0.875      0.75       0.33333333
 1.         0.57142857 0.66666667 0.75       0.75       0.6
 0.85714286 0.57142857 0.8        0.625      0.45454545 1.
 1.         0.         0.57142857 1.         0.625      1.
 1.         1.         0.58333333 0.         0.44444444 0.6
 0.5        1.         0.66666667 1.         0.5        0.66666667
 0.28571429 0.25       0.85714286]",0.6931818181818182,0.6659577795941433,"[0.         0.         1.         1.         1.         0.33333333
 0.83333333 0.         1.         0.77777778 0.22222222 1.
 0.85714286 0.         1.         0.66666667 1.         0.28571429
 0.28571429 0.         0.         1.         0.         1.
 0.         0.4        1.         1.         1.         1.
 1.         1.         0.57142857 0.8        0.875      0.6
 0.66666667 0.75       1.         0.         1.         1.
 0.5        1.         1.         0.66666667 0.75       0.42857143
 1.         0.8        0.5        0.66666667 0.5        0.75
 0.         1.         1.         0.2        0.57142857 1.
 0.8        0.25       1.         1.         0.85714286 0.375
 1.         0.57142857 1.         0.85714286 0.6        0.5
 1.         0.8        1.         1.         0.83333333 1.
 1.         0.         1.         1.         0.83333333 0.5
 0.5        1.         0.875      0.         1.         1.
 1.         0.83333333 1.         1.         1.         0.75
 1.         0.2        1.        ]",0.6931818181818182,0.7090307840307841,0.6931818181818182,0.6635157458241236,0.5304347826086957,0.5751818888182524
75156,3053,1.3184690679807007,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.7776879547291835,0.7750789275342458,[0.76086957 0.79124088],0.7776879547291835,0.7760552205649001,[0.74600355 0.8041543 ],0.7776879547291835,0.7750789275342458,0.7776879547291835,0.7755042780731018,0.6362433862433863,0.6338596197705239
75171,75180,0.3376523135322157,ensemble-learners/el_task-75180_ens-size-10_budget-m-2000_budget-f-100_seed-677.pkl,0.8342582315945246,0.8342782726199576,[0.83825702 0.83024463],0.8342582315945246,0.8342508209483912,[0.83211144 0.83644511],0.8342582315945246,0.8342782726199576,0.8342582315945245,0.834253127299485,0.7156458267216756,0.7156393827271907
75176,146586,0.4630300352413644,ensemble-learners/el_task-146586_ens-size-5_budget-m-2000_budget-f-100_seed-668.pkl,0.5607106151813244,0.5,[0.         0.56071062],0.5607106151813244,0.2803553075906622,[0. 1.],0.5607106151813244,0.5,0.5607106151813244,0.35926622765757293,0.38957462001428134,0.2803553075906622
