task_id,nearest_neighbor_task_id,nearest_neighbor_distance,nearest_neighbor_used_run_config,accuracy,balanced_accuracy,precision,precision_micro,precision_macro,recall,recall_micro,recall_macro,f1_micro,f1_macro,jaccard_micro,jaccard_macro
2122,75223,0.15302189884611211,ensemble-learners/el_task-75223_ens-size-15_budget-m-2000_budget-f-100_seed-853.pkl,0.8727586951825448,0.8506109702846039,"[0.98636364 0.43478261 0.78125    0.96103896 0.83333333 0.75362319
 0.81437126 0.75980392 0.76170213 0.83114035 0.85036496 0.83755589
 0.84290358 0.86605657 0.86855483 0.91917168 0.87940379 0.84444444]",0.8727586951825448,0.8236591737696229,"[0.99541284 1.         0.86206897 0.91358025 0.68965517 0.8125
 0.77714286 0.78282828 0.74273859 0.85746606 0.82918149 0.81449275
 0.84749455 0.87259011 0.88658265 0.88888889 0.9001387  0.83823529]",0.8727586951825448,0.8506109702846039,0.8727586951825448,0.8302713536492861,0.774243004982752,0.7178880241798925
3048,146593,0.7420344904791536,ensemble-learners/el_task-146593_ens-size-20_budget-m-2000_budget-f-100_seed-199.pkl,0.9853658536585366,0.6901988748910546,[0.98577681 0.94117647],0.9853658536585366,0.9634766379199382,[0.99944537 0.38095238],0.9853658536585366,0.6901988748910546,0.9853658536585366,0.7674684566515271,0.9711538461538461,0.6786654290691316
3049,3048,0.8208718262358183,ensemble-learners/el_task-3048_ens-size-20_budget-m-2000_budget-f-100_seed-247.pkl,0.9741100323624595,0.7658523908523909,[0.98       0.77777778],0.9741100323624595,0.8788888888888888,[0.99324324 0.53846154],0.9741100323624595,0.7658523908523909,0.9741100323624595,0.8114704087858451,0.9495268138801262,0.7200883002207505
3053,75142,0.5198901899429393,ensemble-learners/el_task-75142_ens-size-15_budget-m-2000_budget-f-100_seed-914.pkl,0.7868852459016393,0.7808988764044944,[0.70676692 1.        ],0.7868852459016393,0.8533834586466165,[1.         0.56179775],0.7868852459016393,0.7808988764044944,0.7868852459016392,0.7738091465153869,0.6486486486486487,0.6342823350511109
75089,3053,0.8667681857214515,ensemble-learners/el_task-3053_ens-size-5_budget-m-2000_budget-f-100_seed-965.pkl,0.7636363636363637,0.63575,[0.51666667 0.81851852],0.7636363636363637,0.6675925925925926,[0.3875 0.884 ],0.7636363636363637,0.63575,0.7636363636363637,0.6464285714285715,0.6176470588235294,0.5117670522536897
75108,75147,0.7025640373349243,ensemble-learners/el_task-75147_ens-size-20_budget-m-2000_budget-f-100_seed-355.pkl,1.0,1.0,[1. 1.],1.0,1.0,[1. 1.],1.0,1.0,1.0,1.0,1.0,1.0
279,75142,0.8099819720221991,ensemble-learners/el_task-75142_ens-size-15_budget-m-2000_budget-f-100_seed-914.pkl,0.8354430379746836,0.8321678321678322,[0.76744186 0.88235294],0.8354430379746836,0.8248974008207934,[0.81818182 0.84615385],0.8354430379746836,0.8321678321678322,0.8354430379746836,0.8279371727748691,0.717391304347826,0.707998901333659
288,75235,0.49725835952452535,ensemble-learners/el_task-75235_ens-size-20_budget-m-2000_budget-f-100_seed-718.pkl,0.8563636363636363,0.8564849684696393,[0.83941606 0.86071429 0.86900369],0.8563636363636363,0.8563780113817822,[0.83333333 0.88440367 0.8517179 ],0.8563636363636363,0.8564849684696393,0.8563636363636363,0.8563452663372084,0.7488076311605724,0.7490778182491665
75112,75171,0.4219047845350728,ensemble-learners/el_task-75171_ens-size-15_budget-m-2000_budget-f-100_seed-682.pkl,0.8744423199490121,0.8431355322243859,[0.87226853 0.87969516],0.8744423199490121,0.8759818420461091,[0.94600538 0.74026569],0.8744423199490121,0.8431355322243859,0.8744423199490121,0.8558109592683558,0.7768969422423556,0.7515571329615163
75115,75126,0.10675095195321786,ensemble-learners/el_task-75126_ens-size-20_budget-m-2000_budget-f-100_seed-846.pkl,0.9744597249508841,0.8970971440483636,[0.86842105 0.98301486],0.9744597249508841,0.9257179573136664,[0.80487805 0.98931624],0.9744597249508841,0.8970971440483636,0.9744597249508841,0.910799261266362,0.9501915708812261,0.8450401899890391
75121,75115,0.11429445124647822,ensemble-learners/el_task-75115_ens-size-20_budget-m-2000_budget-f-100_seed-446.pkl,0.9960707269155207,0.9545454545454546,[1.         0.99591002],0.9960707269155207,0.9979550102249488,[0.90909091 1.        ],0.9960707269155207,0.9545454545454546,0.9960707269155207,0.9751658860265418,0.9921722113502935,0.9525004647704034
75125,75126,0.1775460249145886,ensemble-learners/el_task-75126_ens-size-20_budget-m-2000_budget-f-100_seed-846.pkl,0.9666011787819253,0.934260446039477,[0.93258427 0.97380952],0.9666011787819253,0.9531968967362225,[0.88297872 0.98554217],0.9666011787819253,0.934260446039477,0.9666011787819253,0.943372271849743,0.935361216730038,0.8950469483568075
75126,75115,0.10675095195321786,ensemble-learners/el_task-75115_ens-size-20_budget-m-2000_budget-f-100_seed-446.pkl,0.9489194499017681,0.8389442159197518,[0.86       0.95860566],0.9489194499017681,0.9093028322440087,[0.69354839 0.98434004],0.9489194499017681,0.8389442159197518,0.9489194499017681,0.8695797855566068,0.902803738317757,0.7836972071903963
75131,166931,0.1476837497338571,ensemble-learners/el_task-166931_ens-size-20_budget-m-2000_budget-f-100_seed-794.pkl,0.9181818181818182,0.9183823529411765,[0.92814371 0.90797546],0.9181818181818182,0.9180595863487748,[0.91176471 0.925     ],0.9181818181818182,0.9183823529411765,0.9181818181818182,0.9181449871843161,0.8487394957983193,0.8486813186813187
75134,189875,1.632982782571819,ensemble-learners/el_task-189875_ens-size-15_budget-m-2000_budget-f-100_seed-327.pkl,0.3307170560447034,0.0916503269117797,"[0.         0.         0.88235294 0.33034762 0.         1.
 0.         0.         0.         1.         0.        ]",0.3307170560447034,0.29206368721347786,"[0.00000000e+00 0.00000000e+00 1.38516945e-03 1.00000000e+00
 0.00000000e+00 5.78368999e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.84736583e-04 0.00000000e+00]",0.3307170560447034,0.0916503269117797,0.3307170560447034,0.04662435698766658,0.19811923271742243,0.030772814402061876
75139,211721,1.5127290509215066,ensemble-learners/el_task-211721_ens-size-15_budget-m-2000_budget-f-100_seed-211.pkl,0.9676767676767677,0.9575795314597257,[0.96520201 0.97305965],0.9676767676767677,0.9691308294661434,[0.98733032 0.92782875],0.9676767676767677,0.9575795314597257,0.9676767676767677,0.963023421674363,0.9373776908023483,0.928992532925631
